# Codici catastali (Belfiore) degli Stati esteri -> nome Stato. Usati nel codice fiscale dei nati all'estero.
# Formato: <codice>:<stato>. Fonte: github.com/pmontrasio/codici-stati (taxcode_country_code + italian_country_name_1).
Z100:ALBANIA
Z520:ISOLE VERGINI AMERICANE
Z522:BARBADOS
Z524:GRENADA
Z525:ISOLE VERGINI BRITANNICHE
Z526:DOMINICA (ISOLA)
Z527:SAINT LUCIA
Z528:SAINT VINCENT E GRENADINE
Z529:ANGUILLA (ISOLA)
Z530:CAYMAN (ISOLE)
Z531:MONTSERRAT (ISOLA)
Z532:ANTIGUA E BARBUDA
Z533:SAINT KITTS E NEVIS=S. CHRISTOPHER E NEVIS
Z600:ARGENTINA
Z601:BOLIVIA
Z602:BRASILE
Z603:CILE
Z604:COLOMBIA
Z605:ECUADOR
Z606:GUYANA
Z607:GUAYANA=GUIANA FRANCESE
Z608:SURINAME
Z610:PARAGUAY
Z611:PERU'
Z612:TRINIDAD E TOBAGO
Z613:URUGUAY
Z614:VENEZUELA
Z700:AUSTRALIA
Z702:CHRISTMAS (ISOLA)
Z703:COOK (ISOLE)
Z704:FIGI=VITI (ISOLE)
Z706:GUAM (ISOLA)
Z710:MARIANNE (ISOLE) (SETTENTRIONALI?)
Z711:MARSHALL (ISOLE)
Z713:NAURU
Z714:NIUE (ATOLLO)
Z715:NORFOLK (ISOLE)
Z716:NUOVA CALEDONIA (ISOLE E DIPENDENZE)
Z719:NUOVA ZELANDA
Z722:PITCAIRN (E DIPENDENZE)
Z723:POLINESIA FRANCESE (ISOLE)
Z724:SALOMONE
Z725:SAMOA SWAIN (AMERICANE)
Z726:SAMOA 
Z727:TOKELAU (ISOLE)
Z728:TONGA
Z729:WALLIS E FUTUNA (ISOLE)
Z730:PAPUA NUOVA GUINEA
Z731:KIRIBATI
Z732:TUVALU
Z733:VANUATU
Z734:PALAU REPUBBLICA
Z735:MICRONESIA STATI FEDERATI
